도로,위도,경도,속도제한
4_0,37.486898,127.082722,60
4_0,37.486894,127.082682,60
4_0,37.486911,127.082682,60
4_0,37.486898,127.082661,60
4_0,37.486922,127.082733,60
4_0,37.486924,127.082706,60
4_0,37.486930,127.082682,60
4_0,37.486924,127.082634,60
4_0,37.486939,127.082650,60
4_0,37.486969,127.082688,60
4_0,37.486992,127.082704,60
4_0,37.486990,127.082674,60
4_0,37.486973,127.082687,60
4_0,37.486971,127.082668,60
4_0,37.486975,127.082612,60
4_0,37.486979,127.082612,60
4_0,37.486996,127.082642,60
4_1,37.488637,127.081891,60
4_1,37.488631,127.081870,60
4_1,37.488640,127.081854,60
4_1,37.488644,127.081827,60
4_1,37.488638,127.081816,60
4_1,37.488657,127.081883,60
4_1,37.488655,127.081867,60
4_1,37.488666,127.081848,60
4_1,37.488657,127.081853,60
4_1,37.488631,127.081853,60
4_1,37.488635,127.081832,60
4_1,37.488635,127.081811,60
4_1,37.488635,127.081819,60
4_1,37.488646,127.081875,60
4_1,37.488640,127.081832,60
4_1,37.488646,127.081802,60
4_1,37.488631,127.081832,60
4_1,37.488648,127.081878,60
4_1,37.488652,127.081846,60
4_1,37.488656,127.081833,60
4_1,37.488658,127.081795,60
4_1,37.488654,127.081811,60
5_0,37.489052,127.081704,40
5_0,37.489061,127.081677,40
5_0,37.489070,127.081650,40
5_0,37.489070,127.081637,40
5_0,37.489072,127.081618,40
5_0,37.489070,127.081599,40
5_0,37.489061,127.081594,40
5_0,37.489082,127.081680,40
5_0,37.489086,127.081661,40
5_0,37.489088,127.081653,40
5_0,37.489082,127.081645,40
5_0,37.489071,127.081634,40
5_0,37.489067,127.081618,40
5_0,37.489061,127.081613,40
5_0,37.489084,127.081659,40
5_0,37.489118,127.081624,40
5_0,37.489112,127.081613,40
5_0,37.489110,127.081651,40
5_0,37.489110,127.081611,40
5_0,37.489110,127.081584,40
5_0,37.489104,127.081571,40
5_1,37.490894,127.080839,40
5_1,37.490898,127.080812,40
5_1,37.490902,127.080791,40
5_1,37.490904,127.080770,40
5_1,37.490910,127.080746,40
5_1,37.490910,127.080762,40
5_1,37.490925,127.080818,40
5_1,37.490925,127.080788,40
5_1,37.490940,127.080820,40
5_1,37.490938,127.080807,40
5_1,37.490932,127.080777,40
5_1,37.490894,127.080737,40
5_1,37.490894,127.080750,40
5_1,37.490913,127.080785,40
5_1,37.490919,127.080793,40
5_1,37.490930,127.080809,40
5_1,37.490930,127.080774,40
5_1,37.490921,127.080795,40
5_1,37.490902,127.080757,40
5_1,37.490902,127.080727,40
5_1,37.490889,127.080746,40
6_0,37.491068,127.080843,30
6_0,37.491023,127.080910,30
6_0,37.491021,127.080902,30
6_0,37.491017,127.080907,30
6_0,37.491045,127.080923,30
6_0,37.491057,127.080947,30
6_0,37.491053,127.080939,30
6_0,37.491051,127.080963,30
6_0,37.491098,127.080933,30
6_0,37.491107,127.080941,30
6_0,37.491094,127.080954,30
6_0,37.491098,127.080967,30
6_0,37.491087,127.080983,30
6_0,37.491085,127.080983,30
6_0,37.491083,127.080986,30
6_0,37.491085,127.080989,30
6_0,37.491089,127.080989,30
6_0,37.491087,127.080997,30
6_0,37.491085,127.081008,30
6_0,37.491083,127.081003,30
6_0,37.491104,127.081030,30
6_1,37.491674,127.082146,30
6_1,37.491610,127.082128,30
6_1,37.491609,127.082133,30
6_1,37.491613,127.082146,30
6_1,37.491615,127.082146,30
6_1,37.491615,127.082151,30
6_1,37.491615,127.082156,30
6_1,37.491668,127.082126,30
6_1,37.491662,127.082129,30
6_1,37.491662,127.082137,30
6_1,37.491649,127.082140,30
6_1,37.491647,127.082145,30
6_1,37.491645,127.082150,30
6_1,37.491641,127.082158,30
6_1,37.491639,127.082150,30
6_1,37.491630,127.082161,30
6_1,37.491628,127.082169,30
6_1,37.491628,127.082174,30
6_1,37.491626,127.082179,30
6_1,37.491632,127.082158,30
6_1,37.491615,127.082150,30
7_0,37.483311,127.084036,60
7_0,37.483273,127.084052,60
7_0,37.483284,127.084053,60
7_0,37.483250,127.084053,60
7_0,37.483250,127.084061,60
7_0,37.483244,127.084066,60
7_0,37.483244,127.084082,60
7_0,37.483240,127.084090,60
7_0,37.483283,127.084074,60
7_0,37.483283,127.084079,60
7_0,37.483281,27.084084,60
7_0,37.483275,127.084084,60
